,x,y,z,Notes
0,0,0,-25,Lifepod 5
1,0,3000,-1000,North
2,3000,3000,-1000,NE
3,3000,0,-1000,East
4,3000,-3000,-1000,SE
5,0,-3000,-1000,South
6,-3000,-3000,-1000,SW
7,-3000,0,-1000,West
8,-3000,3000,-1000,NW
9,500,-500,-60,
10,100,100,-20,
10,100,200,-20,
10,100,200,-40,
,100,300,-60,
,170,500,-75,Lifepod 3
,-150,-150,-50,
,-200,-200,-100,
,-650,-800,-300,
,-400,-600,-150,
,-350,-500,-50,
,-200,0,-60,
,-300,0,-100,
,-400,0,-100,
,700,-250,-10,
,600,-450,-60,
,600,-250,-60,
,900,150,-60,Lifepod 4
,-700,0,-100,
,-800,0,-180,
,-900,0,-300,
,-700,150,-60,
,-750,150,-100,
,-700,200,-60,
,-700,300,-100,
,-700,400,-180,
,-600,220,-60,
,-600,420,-180,
,-800,400,-300,
,-400,440,-180,
,-400,400,-60,
,-350,500,-60,
,-400,500,-180,
,-750,900,-200,
,-850,1000,-400,
